model,Nb features,top feature 1,top feature 2,top feature 3,top feature 4,top feature 5,top feature 6,top feature 7,top feature 8,top feature 9,top feature 10,top feature 11,top feature 12,top feature 13,top feature 14,top feature 15,top feature 16,top feature 17,top feature 18,top feature 19,top feature 20,top feature 21,top feature 22,top feature 23,top feature 24,top feature 25,top feature 26,top feature 27,top feature 28,top feature 29,top feature 30,top feature 31,top feature 32,top feature 33,top feature 34,top feature 35,top feature 36,top feature 37,top feature 38,top feature 39,top feature 40
xgbTree_lda2,20,Af+Af_correlation,C+C_longRunHighGrey,Sal+vEGFSAL,Af+Af_shortRunLowGrey,Af+Af_shortRunEmph,C+C_energy,C+C_shortRunEmph,Sal+vECadherinSAL,C+C_correlation,C+C_runLengthNonunif,Af+Af_lowGreyLevelRun,Af+Af_shortRunHighGrey,Sal+tRANCESAL,C+C_shortRunLowGrey,Af+Af_greyLevelNonunif,Af+Af_BVTV,Af+Af_longRunHighGrey,Af+Af_BSBV,C+C_shortRunHighGrey,Af+Af_TbSp,,,,,,,,,,,,,,,,,,,,
xgbTree_nnet,5,Sal+mMP7SAL,clinic+LowerBackPain,Sal+angiogeninSAL,Sal+oPGSAL,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgbTree_glmboost,15,Sal+cXCL16SAL,Ser+eNA78Seru,JS+3D_Sc_Sf_JS,Sal+tRANCESAL,Sal+oPGSAL,clinic+MouthOpen,Ser+vEGFSeru,C+C_TbTh,Sal+eNA78SAL,Af+Af_shortRunHighGrey,C+C_TbSp,Af+Af_longRunLowGrey,Af+Af_invDiffMoment,C+C_shortRunHighGrey,clinic+LowerBackPain,,,,,,,,,,,,,,,,,,,,,,,,,
lda2_glmnet,15,Ser+vEGFSeru,Sal+mMP7SAL,Af+Af_greyLevelNonunif,Sal+eNA78SAL,Sal+tRANCESAL,Sal+oPGSAL,C+C_longRunHighGrey,Sal+angiogeninSAL,C+C_highGreyLevelRun,Ser+eNA78Seru,Ser+bDNFSeru,JS+3D_Sc_Sf_JS,Af+Af_BSBV,Sal+vEGFSAL,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,
lda2_rf,20,clinic+LowerBackPain,Af+Af_entropy,C+C_invDiffMoment,Af+Af_TbSp,Af+Af_longRunLowGrey,C+C_highGreyLevelRun,C+C_longRunLowGreys,Af+Af_BVTV,clinic+MouthOpen,C+C_longRunHighGrey,C+C_correlation,Af+Af_shortRunLowGrey,C+C_shortRunHighGrey,Af+Af_longRunHighGrey,Af+Af_BSBV,Af+Af_TbTh,clinic+RestlessSleep,Af+Af_highGreyLevelRun,Af+Af_lowGreyLevelRun,JS+3D_Sc_Sf_JS,,,,,,,,,,,,,,,,,,,,
lda2_xgbTree,15,Af+Af_invDiffMoment,C+C_lowGreyLevelRun,C+C_energy,Af+Af_BVTV,C+C_entropy,Af+Af_shortRunHighGrey,C+C_longRunLowGreys,Ser+eNA78Seru,C+C_longRunHighGrey,Af+Af_shortRunEmph,Af+Af_entropy,Af+Af_lowGreyLevelRun,clinic+RestlessSleep,JS+3D_Sc_Sf_JS,Af+Af_correlation,,,,,,,,,,,,,,,,,,,,,,,,,
lda2_lda2,15,C+C_energy,Ser+vEGFSeru,C+C_BVTV,Af+Af_runLengthNonunif,C+C_runLengthNonunif,C+C_longRunHighGrey,Af+Af_energy,Af+Af_inertia,Af+Af_TbTh,Ser+bDNFSeru,Af+Af_correlation,Af+Af_shortRunHighGrey,Af+Af_longRunEmph,Af+Af_BSBV,Af+Af_longRunHighGrey,,,,,,,,,,,,,,,,,,,,,,,,,
lda2_nnet,20,Sal+eNA78SAL,Ser+eNA78Seru,Af+Af_TbSp,Sal+mMP7SAL,Sal+oPGSAL,Sal+vECadherinSAL,Af+Af_longRunLowGrey,clinic+RestlessSleep,clinic+MouthOpen,Sal+angiogeninSAL,Af+Af_correlation,Sal+tIMP1SAL,C+C_shortRunHighGrey,Ser+bDNFSeru,Af+Af_greyLevelNonunif,C+C_highGreyLevelRun,Af+Af_BSBV,Sal+tGFb1SAL,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,
lda2_glmboost,20,JS+3D_Sc_Sf_JS,Ser+mMP7Seru,Sal+tRANCESAL,Sal+angiogeninSAL,clinic+MuscleSore,Af+Af_BVTV,C+C_TbTh,Af+Af_highGreyLevelRun,Ser+tRANCESeru,clinic+RestlessSleep,Af+Af_inertia,Af+Af_lowGreyLevelRun,C+C_longRunEmph,Sal+oPGSAL,Af+Af_shortRunLowGrey,C+C_TbSp,C+C_shortRunLowGrey,Af+Af_longRunHighGrey,Sal+eNA78SAL,Ser+bDNFSeru,,,,,,,,,,,,,,,,,,,,
nnet_glmnet,10,Sal+tIMP1SAL,Ser+bDNFSeru,C+C_highGreyLevelRun,Sal+oPGSAL,Ser+eNA78Seru,Sal+mMP7SAL,Sal+tGFb1SAL,Af+Af_BSBV,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nnet_rf,20,C+C_highGreyLevelRun,C+C_TbSp,C+C_longRunLowGreys,Af+Af_TbSp,C+C_energy,C+C_correlation,Af+Af_TbN,Af+Af_longRunLowGrey,C+C_entropy,Sal+eNA78SAL,Af+Af_longRunHighGrey,Af+Af_shortRunHighGrey,clinic+LowerBackPain,JS+3D_Sc_Sf_JS,Af+Af_BVTV,Af+Af_highGreyLevelRun,Af+Af_lowGreyLevelRun,Af+Af_TbTh,Af+Af_BSBV,clinic+RestlessSleep,,,,,,,,,,,,,,,,,,,,
nnet_xgbTree,15,Af+Af_invDiffMoment,C+C_lowGreyLevelRun,C+C_energy,Af+Af_BVTV,C+C_entropy,Af+Af_shortRunHighGrey,C+C_longRunLowGreys,Ser+eNA78Seru,C+C_longRunHighGrey,Af+Af_shortRunEmph,Af+Af_entropy,Af+Af_lowGreyLevelRun,clinic+RestlessSleep,JS+3D_Sc_Sf_JS,Af+Af_correlation,,,,,,,,,,,,,,,,,,,,,,,,,
nnet_lda2,15,C+C_energy,Ser+vEGFSeru,C+C_BVTV,Af+Af_runLengthNonunif,C+C_runLengthNonunif,C+C_longRunHighGrey,Af+Af_energy,Af+Af_inertia,Af+Af_TbTh,Ser+bDNFSeru,Af+Af_correlation,Af+Af_shortRunHighGrey,Af+Af_longRunEmph,Af+Af_BSBV,Af+Af_longRunHighGrey,,,,,,,,,,,,,,,,,,,,,,,,,
nnet_nnet,15,clinic+MouthOpen,Af+Af_BVTV,Af+Af_energy,clinic+MuscleSore,Ser+angiogeninSeru,clinic+RestlessSleep,Sal+tRANCESAL,Af+Af_BSBV,Af+Af_correlation,C+C_TbN,clinic+LowerBackPain,Sal+tIMP1SAL,Ser+mMP7Seru,Sal+eNA78SAL,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,
nnet_glmboost,15,C+C_lowGreyLevelRun,Af+Af_TbN,Ser+eNA78Seru,Sal+vEGFSAL,Af+Af_BSBV,Af+Af_BVTV,C+C_TbSp,Sal+tIMP1SAL,Af+Af_entropy,Af+Af_inertia,Af+Af_longRunLowGrey,C+C_TbN,clinic+Headache,Af+Af_TbSp,clinic+LowerBackPain,,,,,,,,,,,,,,,,,,,,,,,,,
glmboost_glmnet,5,Af+Af_BSBV,C+C_shortRunHighGrey,Sal+oPGSAL,Sal+tGFb1SAL,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmboost_rf,20,Ser+pAI1Seru,Sal+eNA78SAL,clinic+LowerBackPain,Af+Af_TbSp,Sal+oPGSAL,Sal+tRANCESAL,clinic+MuscleSore,Af+Af_lowGreyLevelRun,C+C_highGreyLevelRun,C+C_shortRunHighGrey,Ser+cXCL16Seru,Ser+eNA78Seru,clinic+RestlessSleep,Af+Af_BSBV,Af+Af_longRunLowGrey,clinic+Headache,Af+Af_BVTV,Af+Af_shortRunHighGrey,Af+Af_TbTh,clinic+MouthOpen,,,,,,,,,,,,,,,,,,,,
glmboost_xgbTree,15,demo+Age,Sal+cXCL16SAL,Af+Af_TbSp,C+C_greyLevelNonunif,Sal+angiogeninSAL,Ser+pAI1Seru,Sal+tGFb1SAL,Sal+oPGSAL,Ser+angiogeninSeru,C+C_entropy,clinic+MouthOpen,clinic+RestlessSleep,C+C_BVTV,clinic+Headache,clinic+LowerBackPain,,,,,,,,,,,,,,,,,,,,,,,,,
glmboost_lda2,20,C+C_TbN,C+C_energy,Ser+bDNFSeru,Af+Af_inertia,Af+Af_longRunEmph,Sal+angiogeninSAL,Ser+angiogeninSeru,C+C_highGreyLevelRun,Sal+oPGSAL,Af+Af_highGreyLevelRun,C+C_lowGreyLevelRun,Sal+vEGFSAL,Ser+cXCL16Seru,C+C_shortRunLowGrey,C+C_TbTh,C+C_longRunEmph,Af+Af_invDiffMoment,Af+Af_energy,C+C_runLengthNonunif,Af+Af_shortRunEmph,,,,,,,,,,,,,,,,,,,,
glmboost_nnet,10,Af+Af_TbSp,C+C_shortRunLowGrey,C+C_lowGreyLevelRun,Sal+oPGSAL,clinic+MuscleSore,C+C_highGreyLevelRun,clinic+RestlessSleep,C+C_shortRunHighGrey,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmboost_glmboost,15,C+C_greyLevelNonunif,C+C_shortRunEmph,Af+Af_runLengthNonunif,Sal+tRANCESAL,Sal+eNA78SAL,Ser+bDNFSeru,Ser+pAI1Seru,Af+Af_TbTh,clinic+RestlessSleep,clinic+Headache,Af+Af_TbSp,C+C_TbN,C+C_shortRunLowGrey,C+C_shortRunHighGrey,Sal+oPGSAL,,,,,,,,,,,,,,,,,,,,,,,,,
hdda_glmnet,5,clinic+LowerBackPain,Af+Af_BVTV,Af+Af_shortRunEmph,Sal+angiogeninSAL,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdda_rf,5,Af+Af_lowGreyLevelRun,Af+Af_highGreyLevelRun,clinic+RestlessSleep,clinic+Headache,Af+Af_shortRunHighGrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdda_xgbTree,10,clinic+LowerBackPain,Af+Af_shortRunEmph,Af+Af_longRunHighGrey,clinic+Headache,clinic+MouthOpen,Af+Af_TbTh,C+C_TbTh,clinic+RestlessSleep,Af+Af_BVTV,Af+Af_shortRunLowGrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdda_lda2,15,Af+Af_highGreyLevelRun,clinic+MuscleSore,Af+Af_TbSp,Af+Af_BSBV,C+C_highGreyLevelRun,Sal+tGFb1SAL,C+C_TbN,Ser+angiogeninSeru,Af+Af_entropy,Af+Af_BVTV,C+C_BVTV,C+C_lowGreyLevelRun,C+C_BSBV,C+C_energy,C+C_TbSp,,,,,,,,,,,,,,,,,,,,,,,,,
hdda_nnet,10,Af+Af_BVTV,C+C_invDiffMoment,Af+Af_TbTh,Sal+eNA78SAL,Af+Af_lowGreyLevelRun,Af+Af_correlation,C+C_lowGreyLevelRun,Af+Af_TbSp,Af+Af_greyLevelNonunif,clinic+RestlessSleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdda_glmboost,10,Ser+oPGSeru,Af+Af_energy,Af+Af_longRunEmph,Af+Af_entropy,Ser+vECadherinSeru,Ser+angiogeninSeru,clinic+Headache,Af+Af_shortRunHighGrey,C+C_highGreyLevelRun,Af+Af_longRunLowGrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test2 top 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmnet_glmnet,10,clinic+MuscleSore,clinic+RestlessSleep,C+C_energy,C+C_entropy,C+C_correlation,C+C_invDiffMoment,C+C_inertia,C+C_shortRunEmph,Af+Af_entropy,C+C_longRunEmph,C+C_greyLevelNonunif,C+C_runLengthNonunif,JS+3D_Sc_Sf_JS,C+C_TbSp,C+C_TbN,C+C_lowGreyLevelRun,C+C_TbTh,C+C_BVTV,C+C_BSBV,C+C_longRunLowGreys,C+C_longRunHighGrey,C+C_shortRunLowGrey,Ser+angiogeninSeru,Af+Af_TbN,Ser+mMP7Seru,Sal+vEGFSAL,Sal+eNA78SAL,clinic+MouthOpen,C+C_shortRunHighGrey,Sal+angiogeninSAL,Sal+tIMP1SAL,Ser+bDNFSeru,C+C_highGreyLevelRun,Sal+oPGSAL,Ser+eNA78Seru,Sal+mMP7SAL,Sal+tGFb1SAL,Af+Af_BSBV,clinic+LowerBackPain,clinic+Headache
glmnet_rf,20,Af+Af_longRunHighGrey,Sal+tGFb1SAL,Af+Af_correlation,demo+Age,Ser+vEGFSeru,Ser+tGFb1Seru,Sal+oPGSAL,Sal+eNA78SAL,Af+Af_TbSp,C+C_BSBV,Sal+tIMP1SAL,Ser+cXCL16Seru,C+C_longRunLowGreys,C+C_longRunEmph,Af+Af_lowGreyLevelRun,Af+Af_BVTV,Sal+angiogeninSAL,C+C_longRunHighGrey,C+C_lowGreyLevelRun,Af+Af_highGreyLevelRun,Sal+tRANCESAL,C+C_TbN,Ser+pAI1Seru,Af+Af_longRunLowGrey,Af+Af_TbN,C+C_shortRunLowGrey,Af+Af_TbTh,Ser+vECadherinSeru,C+C_entropy,C+C_TbTh,C+C_energy,clinic+RestlessSleep,Af+Af_shortRunHighGrey,clinic+LowerBackPain,C+C_correlation,Af+Af_BSBV,clinic+MouthOpen,C+C_shortRunHighGrey,clinic+Headache,C+C_highGreyLevelRun
glmnet_xgbTree,20,clinic+MuscleSore,C+C_shortRunEmph,C+C_BVTV,C+C_inertia,C+C_correlation,C+C_entropy,C+C_invDiffMoment,clinic+MouthOpen,C+C_BSBV,C+C_energy,C+C_TbN,C+C_greyLevelNonunif,C+C_TbSp,Af+Af_longRunEmph,C+C_runLengthNonunif,Af+Af_TbN,Af+Af_longRunLowGrey,Af+Af_BVTV,Sal+oPGSAL,Ser+oPGSeru,C+C_highGreyLevelRun,C+C_lowGreyLevelRun,C+C_shortRunHighGrey,C+C_TbTh,clinic+Headache,C+C_longRunLowGreys,Af+Af_entropy,Af+Af_longRunHighGrey,Af+Af_TbTh,Af+Af_invDiffMoment,Af+Af_lowGreyLevelRun,Af+Af_correlation,Af+Af_shortRunHighGrey,Ser+eNA78Seru,Af+Af_highGreyLevelRun,C+C_longRunHighGrey,Af+Af_shortRunEmph,C+C_shortRunLowGrey,JS+3D_Sc_Sf_JS,clinic+RestlessSleep
glmnet_lda2,15,Af+Af_shortRunEmph,Sal+angiogeninSAL,C+C_longRunLowGreys,Af+Af_lowGreyLevelRun,Ser+vECadherinSeru,Ser+oPGSeru,Sal+cXCL16SAL,Ser+pAI1Seru,C+C_TbTh,Af+Af_greyLevelNonunif,clinic+MuscleSore,Sal+eNA78SAL,Sal+mMP7SAL,Af+Af_entropy,Af+Af_longRunLowGrey,Af+Af_shortRunLowGrey,Af+Af_invDiffMoment,C+C_shortRunLowGrey,Sal+vEGFSAL,C+C_highGreyLevelRun,C+C_correlation,clinic+MouthOpen,Sal+oPGSAL,Af+Af_BVTV,demo+Age,C+C_energy,Ser+vEGFSeru,C+C_BVTV,Af+Af_runLengthNonunif,C+C_runLengthNonunif,C+C_longRunHighGrey,Af+Af_energy,Af+Af_inertia,Af+Af_TbTh,Ser+bDNFSeru,Af+Af_correlation,Af+Af_shortRunHighGrey,Af+Af_longRunEmph,Af+Af_BSBV,Af+Af_longRunHighGrey
glmnet_nnet,20,Sal+mMP7SAL,Ser+cXCL16Seru,Af+Af_highGreyLevelRun,C+C_longRunLowGreys,Af+Af_shortRunEmph,C+C_entropy,Ser+vECadherinSeru,Ser+tRANCESeru,Af+Af_TbTh,Ser+mMP3Seru,C+C_highGreyLevelRun,C+C_longRunHighGrey,Af+Af_longRunEmph,Af+Af_entropy,Sal+tIMP1SAL,Af+Af_longRunHighGrey,Af+Af_BVTV,Af+Af_TbN,C+C_correlation,C+C_TbSp,C+C_BSBV,Af+Af_runLengthNonunif,Af+Af_shortRunHighGrey,Sal+angiogeninSAL,Sal+eNA78SAL,Ser+bDNFSeru,Ser+angiogeninSeru,Sal+tGFb1SAL,Af+Af_correlation,clinic+MouthOpen,Sal+oPGSAL,C+C_shortRunHighGrey,Ser+tGFb1Seru,clinic+RestlessSleep,Af+Af_BSBV,C+C_shortRunEmph,clinic+LowerBackPain,Sal+vEGFSAL,Ser+eNA78Seru,clinic+Headache
glmnet_glmboost,10,C+C_entropy,C+C_correlation,C+C_invDiffMoment,C+C_TbN,C+C_inertia,C+C_shortRunEmph,C+C_longRunEmph,JS+3D_Sc_Sf_JS,C+C_BVTV,C+C_greyLevelNonunif,C+C_shortRunHighGrey,C+C_lowGreyLevelRun,C+C_runLengthNonunif,C+C_longRunLowGreys,C+C_longRunHighGrey,C+C_shortRunLowGrey,Sal+oPGSAL,Ser+mMP3Seru,Sal+vEGFSAL,Ser+oPGSeru,C+C_TbTh,clinic+LowerBackPain,Af+Af_BVTV,C+C_highGreyLevelRun,Sal+tGFb1SAL,Sal+tRANCESAL,Ser+tGFb1Seru,Ser+mMP7Seru,Ser+eNA78Seru,Af+Af_TbSp,Af+Af_shortRunHighGrey,Af+Af_TbTh,Ser+bDNFSeru,Sal+angiogeninSAL,Af+Af_longRunHighGrey,Ser+cXCL16Seru,Af+Af_longRunLowGrey,Ser+pAI1Seru,clinic+RestlessSleep,clinic+MouthOpen
svmLinear_glmnet,15,C+C_invDiffMoment,C+C_inertia,C+C_shortRunEmph,C+C_longRunEmph,Af+Af_energy,C+C_runLengthNonunif,clinic+MuscleSore,C+C_entropy,C+C_energy,C+C_BSBV,C+C_longRunLowGreys,C+C_TbSp,C+C_BVTV,C+C_shortRunHighGrey,C+C_TbTh,C+C_greyLevelNonunif,Sal+tGFb1SAL,Af+Af_TbN,Ser+mMP7Seru,Ser+tIMP1Seru,C+C_shortRunLowGrey,C+C_longRunHighGrey,C+C_highGreyLevelRun,clinic+MouthOpen,Sal+vECadherinSAL,Sal+mMP7SAL,C+C_TbN,clinic+LowerBackPain,Af+Af_BVTV,Af+Af_correlation,Af+Af_shortRunEmph,clinic+Headache,JS+3D_Sc_Sf_JS,Ser+eNA78Seru,Af+Af_longRunHighGrey,Ser+bDNFSeru,Sal+angiogeninSAL,clinic+RestlessSleep,Af+Af_BSBV,Sal+vEGFSAL
svmLinear_rf,15,Af+Af_TbN,Af+Af_inertia,C+C_inertia,C+C_TbSp,C+C_TbN,C+C_longRunEmph,Af+Af_entropy,Ser+mMP7Seru,Ser+bDNFSeru,Ser+angiogeninSeru,Af+Af_invDiffMoment,Ser+tGFb1Seru,Ser+cXCL16Seru,C+C_shortRunEmph,Af+Af_longRunHighGrey,C+C_shortRunLowGrey,clinic+MouthOpen,Sal+angiogeninSAL,Af+Af_correlation,Sal+eNA78SAL,C+C_longRunHighGrey,C+C_shortRunHighGrey,C+C_invDiffMoment,C+C_lowGreyLevelRun,Af+Af_longRunEmph,Ser+vECadherinSeru,Af+Af_shortRunHighGrey,Sal+oPGSAL,C+C_highGreyLevelRun,Af+Af_lowGreyLevelRun,Af+Af_shortRunLowGrey,clinic+LowerBackPain,clinic+RestlessSleep,JS+3D_Sc_Sf_JS,Af+Af_highGreyLevelRun,Af+Af_longRunLowGrey,Af+Af_TbSp,Af+Af_TbTh,Af+Af_BSBV,Af+Af_BVTV
