model FS_PM,Nb features,top feature 1,top feature 2,top feature 3,top feature 4,top feature 5,top feature 6,top feature 7,top feature 8,top feature 9,top feature 10,top feature 11,top feature 12,top feature 13,top feature 14,top feature 15,top feature 16,top feature 17,top feature 18,top feature 19,top feature 20,top feature 21,top feature 22,top feature 23,top feature 24,top feature 25,top feature 26,top feature 27,top feature 28,top feature 29,top feature 30,top feature 31,top feature 32,top feature 33,top feature 34,top feature 35,top feature 36,top feature 37,top feature 38,top feature 39,top feature 40
lda2_svmLinear,0,Ser+cXCL16Seru,Ser+eNA78Seru,Ser+mMP3Seru,Sal+angiogeninSAL,Ser+vEGFSeru,demo+Age,Ser+oPGSeru,Sal+tIMP1SAL,Af+Af_energy,JS+3D_Sc_Sf_JS,clinic+MouthOpen,Af+Af_TbN,C+C_BSBV,Af+Af_correlation,Ser+tRANCESeru,Sal+mMP7SAL,Ser+mMP7Seru,Sal+cXCL16SAL,clinic+LowerBackPain,Sal+tGFb1SAL,clinic+RestlessSleep,Sal+tRANCESAL,Sal+vECadherinSAL,C+C_greyLevelNonunif,Sal+eNA78SAL,Ser+pAI1Seru,Af+Af_TbTh,Ser+vECadherinSeru,Sal+oPGSAL,C+C_TbN,Sal+vEGFSAL,C+C_TbSp,Af+Af_runLengthNonunif,clinic+Headache,C+C_energy,Af+Af_greyLevelNonunif,clinic+MuscleSore,Ser+tGFb1Seru,Ser+tIMP1Seru,Ser+angiogeninSeru,C+C_lowGreyLevelRun,C+C_BVTV,Ser+bDNFSeru,C+C_runLengthNonunif,Af+Af_BVTV,C+C_shortRunLowGrey,C+C_longRunLowGreys,C+C_shortRunHighGrey,Af+Af_entropy,Af+Af_inertia,Af+Af_BSBV,Af+Af_longRunEmph,C+C_longRunHighGrey,Af+Af_invDiffMoment,C+C_TbTh,Af+Af_shortRunEmph,C+C_longRunEmph,C+C_shortRunEmph,Af+Af_longRunLowGrey,C+C_entropy,C+C_correlation,C+C_highGreyLevelRun,Af+Af_shortRunHighGrey,Af+Af_longRunHighGrey,C+C_invDiffMoment,Af+Af_shortRunLowGrey,Af+Af_TbSp,Af+Af_lowGreyLevelRun,Af+Af_highGreyLevelRun,C+C_inertia
nnet_svmLinear,15,C+C_BVTV,Sal+angiogeninSAL,Ser+tRANCESeru,C+C_highGreyLevelRun,Sal+vEGFSAL,Ser+pAI1Seru,C+C_shortRunHighGrey,Af+Af_BSBV,Af+Af_greyLevelNonunif,clinic+LowerBackPain,Sal+oPGSAL,clinic+RestlessSleep,Ser+bDNFSeru,JS+3D_Sc_Sf_JS,clinic+Headache
glmboost_svmLinear,15,Af+Af_shortRunEmph,clinic+Headache,Af+Af_longRunLowGrey,clinic+MuscleSore,Af+Af_shortRunHighGrey,Af+Af_TbN,Ser+vEGFSeru,Af+Af_TbTh,C+C_TbN,demo+Age,Ser+oPGSeru,Sal+oPGSAL,Af+Af_BVTV,C+C_shortRunHighGrey,C+C_entropy
AUC_svmLinear,5,Sal+vEGFSAL,Ser+eNA78Seru,Ser+bDNFSeru,clinic+Headache,Af+Af_BSBV
glmnet_rf,5,Sal+mMP7SAL,Af+Af_BSBV,Ser+bDNFSeru,clinic+LowerBackPain,clinic+Headache
rf_rf,5,Ser+pAI1Seru,clinic+MouthOpen,clinic+LowerBackPain,Af+Af_longRunLowGrey,clinic+Headache
xgbTree_rf,5,clinic+LowerBackPain,Af+Af_lowGreyLevelRun,clinic+Headache,Af+Af_entropy,C+C_highGreyLevelRun
lda2_rf,0,clinic+LowerBackPain,Sal+eNA78SAL,Sal+mMP7SAL,Ser+mMP3Seru,Sal+angiogeninSAL,Ser+oPGSeru,Ser+angiogeninSeru,Af+Af_shortRunLowGrey,Sal+vECadherinSAL,Ser+tIMP1Seru,Ser+eNA78Seru,Ser+vECadherinSeru,clinic+RestlessSleep,JS+3D_Sc_Sf_JS,Ser+bDNFSeru,C+C_shortRunLowGrey,Ser+tGFb1Seru,Af+Af_inertia,Sal+tIMP1SAL,Ser+tRANCESeru,Sal+tRANCESAL,Sal+cXCL16SAL,Af+Af_TbN,Ser+cXCL16Seru,clinic+MouthOpen,Sal+tGFb1SAL,Af+Af_correlation,demo+Age,Ser+pAI1Seru,C+C_longRunEmph,Sal+oPGSAL,Ser+mMP7Seru,Af+Af_greyLevelNonunif,Af+Af_energy,Ser+vEGFSeru,clinic+MuscleSore,Af+Af_lowGreyLevelRun,clinic+Headache,C+C_TbSp,C+C_greyLevelNonunif,Af+Af_shortRunEmph,C+C_TbN,Af+Af_BVTV,Sal+vEGFSAL,Af+Af_TbSp,Af+Af_longRunEmph,C+C_highGreyLevelRun,Af+Af_BSBV,C+C_lowGreyLevelRun,C+C_longRunLowGreys,Af+Af_runLengthNonunif,Af+Af_invDiffMoment,C+C_shortRunEmph,C+C_inertia,Af+Af_TbTh,Af+Af_entropy,C+C_energy,C+C_shortRunHighGrey,Af+Af_longRunLowGrey,C+C_invDiffMoment,Af+Af_shortRunHighGrey,C+C_longRunHighGrey,C+C_TbTh,C+C_correlation,Af+Af_longRunHighGrey,C+C_BVTV,Af+Af_highGreyLevelRun,C+C_entropy,C+C_BSBV,C+C_runLengthNonunif
nnet_rf,5,Sal+mMP7SAL,Ser+angiogeninSeru,Sal+oPGSAL,clinic+LowerBackPain,clinic+Headache
glmboost_rf,10,Af+Af_entropy,Af+Af_inertia,Af+Af_TbN,Af+Af_invDiffMoment,Sal+eNA78SAL,Ser+cXCL16Seru,Af+Af_BVTV,C+C_invDiffMoment,Ser+eNA78Seru,clinic+Headache
AUC_rf,5,Ser+bDNFSeru,clinic+LowerBackPain,Sal+mMP7SAL,JS+3D_Sc_Sf_JS,clinic+Headache
glmnet_xgbTree,5,Ser+eNA78Seru,clinic+Headache,Ser+bDNFSeru,Af+Af_BSBV,Sal+vEGFSAL
rf_xgbTree,5,C+C_correlation,Ser+bDNFSeru,clinic+MouthOpen,clinic+RestlessSleep,clinic+Headache
xgbTree_xgbTree,5,Af+Af_invDiffMoment,clinic+Headache,Ser+mMP3Seru,clinic+RestlessSleep,C+C_shortRunLowGrey
lda2_xgbTree,20,C+C_highGreyLevelRun,C+C_TbTh,Af+Af_BSBV,Af+Af_greyLevelNonunif,Af+Af_shortRunEmph,C+C_correlation,Af+Af_shortRunHighGrey,C+C_energy,Af+Af_runLengthNonunif,Af+Af_inertia,Af+Af_invDiffMoment,C+C_longRunEmph,C+C_shortRunEmph,C+C_entropy,C+C_inertia,Af+Af_entropy,Af+Af_longRunLowGrey,Af+Af_shortRunLowGrey,Af+Af_lowGreyLevelRun,Af+Af_TbSp
nnet_xgbTree,5,Ser+pAI1Seru,Sal+eNA78SAL,Af+Af_longRunHighGrey,Af+Af_invDiffMoment,Sal+mMP7SAL
glmboost_xgbTree,20,C+C_longRunLowGreys,Af+Af_lowGreyLevelRun,Ser+eNA78Seru,Af+Af_shortRunLowGrey,Af+Af_BVTV,C+C_inertia,Ser+angiogeninSeru,Af+Af_correlation,Af+Af_longRunEmph,Af+Af_TbTh,C+C_BVTV,C+C_TbSp,C+C_TbTh,Ser+pAI1Seru,Sal+eNA78SAL,C+C_shortRunHighGrey,Ser+cXCL16Seru,C+C_BSBV,clinic+RestlessSleep,clinic+LowerBackPain
AUC_xgbTree,5,Ser+eNA78Seru,clinic+Headache,Ser+bDNFSeru,Af+Af_BSBV,Sal+vEGFSAL
glmnet_lda2,5,Af+Af_BSBV,C+C_highGreyLevelRun,Sal+mMP7SAL,Sal+angiogeninSAL,clinic+Headache
rf_lda2,5,C+C_shortRunHighGrey,clinic+LowerBackPain,clinic+MouthOpen,clinic+RestlessSleep,clinic+Headache
xgbTree_lda2,5,clinic+Headache,Af+Af_longRunHighGrey,Sal+tGFb1SAL,clinic+RestlessSleep,C+C_highGreyLevelRun
lda2_lda2,5,C+C_shortRunHighGrey,Af+Af_invDiffMoment,C+C_inertia,Af+Af_TbSp,Af+Af_shortRunLowGrey
nnet_lda2,5,clinic+RestlessSleep,clinic+MuscleSore,Ser+eNA78Seru,JS+3D_Sc_Sf_JS,clinic+Headache
glmboost_lda2,15,C+C_invDiffMoment,Ser+bDNFSeru,C+C_shortRunHighGrey,clinic+Headache,Af+Af_invDiffMoment,Ser+tGFb1Seru,Af+Af_longRunLowGrey,clinic+MouthOpen,Sal+tRANCESAL,Af+Af_BSBV,JS+3D_Sc_Sf_JS,C+C_shortRunEmph,C+C_TbN,Sal+mMP7SAL,C+C_longRunLowGreys
AUC_lda2,5,Af+Af_BSBV,C+C_highGreyLevelRun,Sal+mMP7SAL,Sal+angiogeninSAL,clinic+Headache
glmnet_nnet,10,Sal+tIMP1SAL,Af+Af_shortRunEmph,clinic+RestlessSleep,JS+3D_Sc_Sf_JS,Ser+bDNFSeru,Sal+angiogeninSAL,Sal+oPGSAL,clinic+Headache,Af+Af_BSBV,Sal+vEGFSAL
rf_nnet,5,C+C_correlation,C+C_TbN,clinic+RestlessSleep,clinic+LowerBackPain,clinic+Headache
xgbTree_nnet,10,Sal+angiogeninSAL,C+C_TbTh,C+C_shortRunLowGrey,Ser+eNA78Seru,C+C_shortRunHighGrey,C+C_energy,JS+3D_Sc_Sf_JS,clinic+Headache,Sal+tRANCESAL,clinic+RestlessSleep
lda2_nnet,20,Af+Af_highGreyLevelRun,C+C_shortRunLowGrey,Af+Af_shortRunHighGrey,Af+Af_shortRunLowGrey,C+C_BVTV,C+C_correlation,Af+Af_inertia,C+C_energy,Af+Af_lowGreyLevelRun,C+C_invDiffMoment,Af+Af_runLengthNonunif,C+C_lowGreyLevelRun,C+C_longRunHighGrey,C+C_inertia,C+C_shortRunHighGrey,C+C_longRunLowGreys,Af+Af_TbSp,C+C_highGreyLevelRun,C+C_entropy,Af+Af_invDiffMoment
nnet_nnet,5,Ser+mMP7Seru,clinic+RestlessSleep,Ser+bDNFSeru,Sal+oPGSAL,clinic+MouthOpen
glmboost_nnet,5,Ser+vEGFSeru,Sal+tRANCESAL,Af+Af_longRunHighGrey,C+C_shortRunLowGrey,Af+Af_longRunLowGrey
AUC_nnet,5,Sal+oPGSAL,Sal+vEGFSAL,JS+3D_Sc_Sf_JS,C+C_highGreyLevelRun,clinic+Headache
glmnet_glmboost,5,clinic+LowerBackPain,Sal+eNA78SAL,Ser+bDNFSeru,JS+3D_Sc_Sf_JS,clinic+Headache
rf_glmboost,10,Af+Af_longRunHighGrey,JS+3D_Sc_Sf_JS,Af+Af_shortRunHighGrey,Af+Af_longRunLowGrey,Sal+eNA78SAL,C+C_highGreyLevelRun,clinic+RestlessSleep,clinic+MouthOpen,clinic+LowerBackPain,clinic+Headache
xgbTree_glmboost,5,Af+Af_lowGreyLevelRun,clinic+RestlessSleep,Af+Af_BVTV,Ser+oPGSeru,clinic+Headache
lda2_glmboost,20,Af+Af_shortRunEmph,C+C_BSBV,Af+Af_longRunHighGrey,C+C_invDiffMoment,C+C_shortRunLowGrey,Af+Af_entropy,C+C_energy,C+C_lowGreyLevelRun,Af+Af_shortRunHighGrey,C+C_runLengthNonunif,C+C_correlation,Af+Af_TbSp,C+C_shortRunHighGrey,Af+Af_runLengthNonunif,Af+Af_lowGreyLevelRun,Af+Af_highGreyLevelRun,C+C_longRunLowGreys,C+C_longRunHighGrey,C+C_highGreyLevelRun,C+C_entropy
nnet_glmboost,10,Af+Af_correlation,Sal+vECadherinSAL,Ser+bDNFSeru,Af+Af_TbSp,C+C_energy,C+C_shortRunEmph,Af+Af_TbTh,Sal+oPGSAL,Ser+oPGSeru,Af+Af_highGreyLevelRun
glmboost_glmboost,5,C+C_lowGreyLevelRun,Sal+tRANCESAL,clinic+Headache,Af+Af_longRunHighGrey,Af+Af_BVTV
AUC_glmboost,5,C+C_longRunHighGrey,C+C_longRunLowGreys,C+C_BSBV,JS+3D_Sc_Sf_JS,clinic+Headache
glmnet_hdda,5,Sal+oPGSAL,JS+3D_Sc_Sf_JS,Af+Af_BSBV,Ser+vEGFSeru,clinic+Headache
rf_hdda,5,Sal+tRANCESAL,clinic+LowerBackPain,Af+Af_longRunLowGrey,clinic+Headache,clinic+RestlessSleep
xgbTree_hdda,5,Ser+bDNFSeru,Af+Af_TbTh,C+C_entropy,Ser+angiogeninSeru,Af+Af_invDiffMoment
lda2_hdda,20,C+C_runLengthNonunif,Af+Af_greyLevelNonunif,C+C_TbN,Af+Af_TbTh,C+C_shortRunHighGrey,Af+Af_highGreyLevelRun,Af+Af_longRunLowGrey,Af+Af_shortRunHighGrey,Af+Af_lowGreyLevelRun,C+C_TbSp,Af+Af_BSBV,Af+Af_inertia,C+C_invDiffMoment,C+C_entropy,C+C_correlation,C+C_shortRunEmph,C+C_inertia,C+C_longRunHighGrey,Af+Af_shortRunLowGrey,Af+Af_TbSp
nnet_hdda,10,Af+Af_BSBV,Af+Af_TbN,Af+Af_greyLevelNonunif,Ser+pAI1Seru,clinic+Headache,Sal+angiogeninSAL,Af+Af_BVTV,JS+3D_Sc_Sf_JS,clinic+LowerBackPain,Ser+vEGFSeru
glmboost_hdda,5,Af+Af_correlation,C+C_shortRunHighGrey,C+C_TbSp,JS+3D_Sc_Sf_JS,Af+Af_shortRunLowGrey
AUC_hdda,5,Sal+angiogeninSAL,clinic+LowerBackPain,JS+3D_Sc_Sf_JS,Ser+vEGFSeru,clinic+Headache
